ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Dictionary Categories",_wp_page_template,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Section 1","Section 2","Section 3","Section 4","Section 5","Section 6","Machine Picture",Machine,"Work Place",Date,Purpose,Feedback,Comment,"Short Content",URL,Category,Picture,"PDF File",Contact,"Header sub title",Menu,Footer,"Background for custom post type"
4858,"AC (Alternating Current Electricity) ไฟฟ้ากระแสสลับ","หมายถึงกระแสที่มีทิศทางไปและกลับตลอดระยะเวลา มีการสลับขั้วบวกและลบกันอยู่ตลอดเวลา",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/ac-alternating-current-electricity/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,ac-alternating-current-electricity,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4859,"AC DC converter ตัวแปลงกระแสไฟฟ้า (กระแสสลับเป็นกระแสตรง)",เพื่อแปลงรูปคลื่นกระแสสลับเปลี่ยนจากขนาดเฉพาะและความถี่เฉพาะเป้นรูปคลื่นกระแสสลับที่มีขนาดและความถี่แตกต่างกัน,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/ac-dc-converter/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,ac-dc-converter,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4860,"Accelerator รอบเครื่องยนต์","เวลาใช้งานรถกระเช้าต้องใช้เครื่องยนต์ การเร่งเครื่องยนต์เพือให้ความเร็วรอบสูง",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/accelerator/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,accelerator,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4861,"Aerial Work Platform รถกระเช้า (รถลิฟท์กระเช้า)","กระเช้าทำงานที่สูง รถกระเช้าทั่วไป,บูมลิฟท,กรรไกร,Sky Master,Spider Lift,Man Lift",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/aerial-work-platform/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,aerial-work-platform,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4862,"Aerial Work Platform (Truck Mounted) รถกระเช้า","รถบรรทุกที่ประกอบตัวกระเช้าด้านบน สามารถวิ่งบนถนนได้",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/aerial-work-platform-truck-mounted/,,,,,,,,,,Skymaster,default,publish,4,token,contact@tas-c.com,Token,Thailand,aerial-work-platform-truck-mounted,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4863,"Alternator เครื่องกำเนิดไฟฟ้ากระแสสลับ",คือเครื่องที่แปลงพลังงานกลเป็นพลังงานไฟฟ้า,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/alternator/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,alternator,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4864,"Ampere (A) หน่วยของกระแสไฟฟ้า",,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/ampere-a/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,ampere-a,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4865,"Articulating Boom เป็นรถกระเช้าแบบแขนพับที่สามารถเคลื่อนที่ได้ด้วยตนเอง","โมเดลรุ่น Z ทั้งหมด(Genie)",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/articulating-boom/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,articulating-boom,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4866,"Assy ชุด",อุปกรณ์หรือสินค้าที่ขายเป็นชุด,,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/assy/,,,,,,,,,,General,default,publish,4,token,contact@tas-c.com,Token,Thailand,assy,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
4867,"Auxiary Motor มอเตอร์สำรอง","ใช้กรณีฉุกเฉิน สำหรับเก็บขาช้าง เก็บบูมเวลามอเตอร์หลักมีปัญหา",,"2023-01-21 09:55:56",dictionary,https://token-thailand.unddev.net/dict/auxiary-motor/,,,,,,,,,,"Boom Lift",default,publish,4,token,contact@tas-c.com,Token,Thailand,auxiary-motor,,default,0,0,0,open,open,"2023-01-21 09:55:56",,,,,,,,,,,,,,,,,,,,,,,
